date,Open,High,Low,Close,Volume,symbol
2025-04-14,59.568,59.568,58.277,58.873,3619500,VCB.VN
2025-04-15,58.674,60.462,57.88,59.568,5633100,VCB.VN
2025-04-16,59.27,59.866,58.575,58.873,2625800,VCB.VN
2025-04-17,58.873,58.873,57.682,57.682,3151800,VCB.VN
2025-04-18,58.277,59.171,57.682,57.682,2165400,VCB.VN
2025-04-21,58.079,58.476,57.682,57.781,1290500,VCB.VN
2025-04-22,57.682,58.377,54.306,58.079,3850700,VCB.VN
2025-04-23,58.972,58.972,57.582,57.582,1928700,VCB.VN
2025-04-24,57.781,58.178,57.582,57.781,1861200,VCB.VN
2025-04-25,57.781,58.575,57.086,57.086,3682000,VCB.VN
2025-04-28,57.285,57.88,57.086,57.086,1654600,VCB.VN
2025-04-29,57.285,58.079,56.887,56.887,2432200,VCB.VN
2025-05-05,57.086,57.582,56.59,56.689,2101500,VCB.VN
2025-05-06,56.887,57.582,56.59,56.59,2992900,VCB.VN
2025-05-07,56.689,57.086,56.59,56.59,2415400,VCB.VN
2025-05-08,56.987,57.285,56.49,56.689,3022300,VCB.VN
2025-05-09,56.887,57.185,56.192,56.192,5827400,VCB.VN
2025-05-12,56.59,56.887,55.795,56.192,5992500,VCB.VN
2025-05-13,56.689,56.887,56.192,56.391,7392600,VCB.VN
2025-05-14,56.788,58.377,56.788,58.277,8014200,VCB.VN
2025-05-15,58.873,59.369,58.277,58.277,8070600,VCB.VN
2025-05-16,58.377,58.575,57.086,57.086,8364800,VCB.VN
2025-05-19,56.987,57.185,56.59,56.59,4784400,VCB.VN
2025-05-20,56.59,56.987,56.391,56.689,3867000,VCB.VN
2025-05-21,57.086,57.483,56.59,56.689,5161800,VCB.VN
2025-05-22,56.689,56.987,56.49,56.49,3694300,VCB.VN
2025-05-23,56.49,57.086,56.292,56.391,3546500,VCB.VN
2025-05-26,56.49,56.59,55.597,56.59,4728300,VCB.VN
2025-05-27,56.391,56.788,56.292,56.391,5548900,VCB.VN
2025-05-28,56.689,57.185,56.391,56.391,4950200,VCB.VN
2025-05-29,56.788,56.788,56.292,56.292,3904500,VCB.VN
2025-05-30,56.391,56.49,55.994,55.994,3934000,VCB.VN
2025-06-02,56.093,56.093,55.696,55.795,3225700,VCB.VN
2025-06-03,56.292,56.49,55.994,56.391,3364000,VCB.VN
2025-06-04,56.49,56.59,56.093,56.192,2690500,VCB.VN
2025-06-05,56.292,56.391,55.895,55.895,2783100,VCB.VN
2025-06-06,55.895,56.192,55.696,55.696,2531900,VCB.VN
2025-06-09,55.795,55.994,55.498,55.498,2223900,VCB.VN
2025-06-10,55.597,55.795,55.498,55.498,2231400,VCB.VN
2025-06-11,55.795,55.795,55.299,55.299,2295800,VCB.VN
2025-06-12,55.597,55.696,55.299,55.597,2560800,VCB.VN
2025-06-13,55.498,56.689,55.2,55.795,5364900,VCB.VN
2025-06-16,55.795,56.292,55.795,56.192,4336600,VCB.VN
2025-06-17,56.49,57.086,56.391,56.788,5159800,VCB.VN
2025-06-18,56.788,56.887,56.093,56.292,3421100,VCB.VN
2025-06-19,56.292,56.59,56.093,56.192,2368700,VCB.VN
2025-06-20,56.292,56.788,56.093,56.689,6886500,VCB.VN
2025-06-23,56.292,56.49,56.093,56.192,2480600,VCB.VN
2025-06-24,56.49,56.689,56.192,56.192,3507600,VCB.VN
2025-06-25,56.391,56.49,56.192,56.192,2739800,VCB.VN
2025-06-26,56.292,56.391,55.994,55.994,2842900,VCB.VN
2025-06-27,56.192,56.887,55.994,56.292,4082600,VCB.VN
2025-06-30,56.59,56.788,56.49,56.59,2952200,VCB.VN
2025-07-01,56.788,58.377,56.689,57.781,10049500,VCB.VN
2025-07-02,57.88,58.178,57.285,57.582,2913600,VCB.VN
2025-07-03,57.682,58.377,57.285,57.483,7395300,VCB.VN
2025-07-04,57.483,58.377,57.384,57.98,4849800,VCB.VN
2025-07-07,58.079,58.476,57.781,58.178,8056200,VCB.VN
2025-07-08,58.377,59.072,58.178,58.575,10394500,VCB.VN
2025-07-09,58.972,61.355,58.972,61.057,16449700,VCB.VN
2025-07-10,61.355,61.355,60.561,60.958,8152900,VCB.VN
2025-07-11,61.057,62.646,61.057,62.249,12701900,VCB.VN
2025-07-14,62.447,62.447,60.561,61.951,6475000,VCB.VN
2025-07-15,61.951,62.149,60.958,60.958,6315400,VCB.VN
2025-07-16,60.958,61.653,60.66,61.355,7603200,VCB.VN
2025-07-17,61.355,62.249,61.355,61.752,9992700,VCB.VN
2025-07-18,61.851,62.149,61.355,61.454,6915300,VCB.VN
2025-07-21,61.752,62.249,60.859,60.859,6138200,VCB.VN
2025-07-22,60.859,61.752,60.462,61.752,4902600,VCB.VN
2025-07-23,62.05,62.149,61.355,61.653,5087300,VCB.VN
2025-07-24,61.752,63.043,61.454,61.653,8710200,VCB.VN
2025-07-25,61.653,62.05,61.454,61.554,4978400,VCB.VN
2025-07-28,61.752,62.546,61.653,62.348,10484700,VCB.VN
2025-07-29,62.745,62.745,60.561,60.561,10595600,VCB.VN
2025-07-30,60.561,61.454,59.965,60.462,7271000,VCB.VN
2025-07-31,61.057,61.256,59.667,59.767,6066900,VCB.VN
2025-08-01,59.866,60.164,59.27,59.767,4751600,VCB.VN
2025-08-04,59.667,60.958,59.568,60.66,4462400,VCB.VN
2025-08-05,61.057,63.241,60.759,61.057,18590000,VCB.VN
2025-08-06,61.653,62.348,61.454,61.851,4677500,VCB.VN
2025-08-07,62.447,62.447,60.859,61.256,9498700,VCB.VN
2025-08-08,61.752,62.844,61.156,61.454,10679800,VCB.VN
2025-08-11,61.653,62.745,61.653,62.05,7266300,VCB.VN
2025-08-12,62.348,64.333,62.249,62.546,12129000,VCB.VN
2025-08-13,63.043,63.142,61.554,62.05,7519800,VCB.VN
2025-08-14,63.241,65.823,62.844,64.731,19003100,VCB.VN
2025-08-15,66.915,67.014,63.738,63.837,16667800,VCB.VN
2025-08-18,64.333,65.128,63.539,64.036,8297300,VCB.VN
2025-08-19,64.036,64.929,63.738,63.738,9191400,VCB.VN
2025-08-20,64.036,64.135,61.752,62.546,10537600,VCB.VN
2025-08-21,62.844,64.532,62.844,63.738,9639300,VCB.VN
2025-08-22,63.539,66.716,63.241,64.135,18944300,VCB.VN
2025-08-25,65.326,65.326,62.944,63.142,7750800,VCB.VN
2025-08-26,63.142,64.532,62.447,64.135,7988400,VCB.VN
2025-08-27,64.532,68.602,64.532,68.602,31048100,VCB.VN
2025-08-28,69.0,70.092,68.205,68.503,8799400,VCB.VN
2025-08-29,68.702,69.595,68.007,68.106,14696100,VCB.VN
2025-09-03,68.305,68.305,66.518,66.518,14216900,VCB.VN
2025-09-04,67.014,68.503,66.418,68.404,8942100,VCB.VN
2025-09-05,69.0,69.099,67.014,67.014,11047800,VCB.VN
2025-09-08,66.617,67.014,64.83,64.83,11249800,VCB.VN
2025-09-09,65.028,65.723,64.036,64.433,6192300,VCB.VN
2025-09-10,65.128,65.525,64.333,65.326,5006400,VCB.VN
2025-09-11,65.128,65.525,63.738,65.227,6349100,VCB.VN
2025-09-12,65.723,65.723,64.532,65.326,5694200,VCB.VN
2025-09-15,65.525,65.525,65.028,65.326,5367400,VCB.VN
2025-09-16,65.525,66.12,65.128,65.128,6765400,VCB.VN
2025-09-17,65.028,65.326,64.333,64.333,5627200,VCB.VN
2025-09-18,64.433,64.433,63.142,63.44,8783400,VCB.VN
2025-09-19,63.738,64.036,62.546,62.546,6932700,VCB.VN
2025-09-22,62.546,62.745,61.355,61.554,6061300,VCB.VN
2025-09-23,61.951,62.646,61.752,61.752,3267800,VCB.VN
2025-09-24,61.951,62.249,61.355,62.249,3879200,VCB.VN
2025-09-25,62.844,62.944,62.249,62.546,3870300,VCB.VN
2025-09-26,62.745,62.944,62.447,62.546,3981900,VCB.VN
2025-09-29,62.447,62.447,61.951,62.149,2782900,VCB.VN
2025-09-30,62.348,62.447,61.355,61.554,4104100,VCB.VN
2025-10-01,62.249,62.249,61.554,61.951,3022000,VCB.VN
2025-10-02,61.951,62.646,61.653,61.653,3657500,VCB.VN
2025-10-03,62.0,62.0,61.4,61.7,2821100,VCB.VN
2025-10-06,62.8,64.0,62.8,64.0,7461700,VCB.VN
2025-10-07,64.1,64.1,63.3,63.7,4229300,VCB.VN
2025-10-08,64.2,64.9,63.6,64.6,8113800,VCB.VN
2025-10-09,64.5,65.2,63.8,63.8,5734200,VCB.VN
2025-10-10,63.9,64.4,63.6,64.2,4985600,VCB.VN
2025-10-13,63.4,63.8,62.8,63.1,7992500,VCB.VN
2025-10-14,63.5,64.0,62.9,63.1,7008900,VCB.VN
2025-10-15,63.1,63.4,62.5,62.5,5218800,VCB.VN
2025-10-16,62.7,63.0,62.5,62.9,4634400,VCB.VN
2025-10-17,62.9,62.9,61.8,61.9,5405900,VCB.VN
2025-10-20,61.8,62.2,58.6,59.4,12115600,VCB.VN
2025-10-21,59.7,60.7,59.3,59.3,8416700,VCB.VN
2025-10-22,60.1,60.2,58.5,59.6,4664800,VCB.VN
2025-10-23,58.9,60.3,58.9,59.8,4227100,VCB.VN
2025-10-24,59.8,59.9,58.8,59.5,4372700,VCB.VN
2025-10-27,60.0,60.0,59.2,59.2,2640000,VCB.VN
2025-10-28,59.2,60.2,59.1,60.0,2789700,VCB.VN
2025-10-29,60.0,61.0,59.8,60.7,3716000,VCB.VN
2025-10-30,61.0,61.2,60.3,60.6,1946600,VCB.VN
2025-10-31,60.8,60.8,59.6,59.6,2117800,VCB.VN
2025-11-03,60.0,60.3,59.3,59.3,2800100,VCB.VN
2025-11-04,59.2,60.4,59.1,60.1,2952400,VCB.VN
2025-11-05,60.0,61.1,59.9,60.8,4601700,VCB.VN
2025-11-06,60.9,61.3,60.2,60.3,2821200,VCB.VN
2025-11-07,60.0,60.0,59.0,59.3,3586300,VCB.VN
2025-11-10,59.4,59.7,58.8,58.8,2316500,VCB.VN
2025-11-11,59.1,59.6,58.8,58.9,2540900,VCB.VN
2025-11-12,59.1,59.7,59.0,59.5,2012700,VCB.VN
2025-11-13,59.5,60.0,59.2,59.8,2113500,VCB.VN
2025-11-14,59.8,60.4,59.4,60.0,2069600,VCB.VN
2025-11-17,60.0,60.4,59.9,60.2,1585600,VCB.VN
2025-11-18,60.4,60.4,59.8,59.9,2158800,VCB.VN
2025-11-19,59.9,60.1,59.3,59.4,2896200,VCB.VN
2025-11-20,59.6,59.7,59.2,59.4,2259400,VCB.VN
2025-11-21,59.1,59.2,58.7,59.0,3452400,VCB.VN
2025-11-24,59.0,59.3,58.7,58.8,2025600,VCB.VN
2025-11-25,58.9,59.0,58.2,58.2,2755000,VCB.VN
2025-11-26,58.5,58.6,57.8,58.1,5371200,VCB.VN
2025-11-27,58.2,58.5,57.9,57.9,3113500,VCB.VN
2025-11-28,58.0,58.1,57.4,57.4,3534300,VCB.VN
